0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:56:11 +0900] "GET /0112_bootstrap/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:56:11 +0900] "GET /0112_bootstrap/fonts/fontawesome-webfont.woff?v=4.6.3 HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:56:11 +0900] "GET /0112_bootstrap/fonts/fontawesome-webfont.ttf?v=4.6.3 HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:56:11 +0900] "GET /0112_bootstrap/ex2_bootstrap.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:56:11 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:56:11 +0900] "GET /0112_bootstrap/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:56:11 +0900] "GET /0112_bootstrap/fonts/fontawesome-webfont.woff?v=4.6.3 HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:56:11 +0900] "GET /0112_bootstrap/fonts/fontawesome-webfont.ttf?v=4.6.3 HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:58:03 +0900] "GET /0112_bootstrap/ex2_bootstrap.html HTTP/1.1" 200 2507
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:58:03 +0900] "GET /0112_bootstrap/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:58:03 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:58:03 +0900] "GET /0112_bootstrap/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:58:03 +0900] "GET /0112_bootstrap/fonts/fontawesome-webfont.woff?v=4.6.3 HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:58:03 +0900] "GET /0112_bootstrap/fonts/fontawesome-webfont.ttf?v=4.6.3 HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:59:21 +0900] "GET /0112_bootstrap/ex2_bootstrap.html HTTP/1.1" 200 2615
